Company,Violation,Date,Action,Case Number,Link,Lat& long
"Accurate Group, LLC",Failed  to enter 105 RREAL transactions,05-04-23,"$1,450  civil penalty",21897-AG23-0224-040,https://www.in.gov/idoi/files/enforcement/21897-AG23-0224-040.pdf,"41.410514810491506, -81.77136019841426"
"Acrisure National Lender Services, LLC",Failure to enter RREAL transactions into database,26-09-23,$1400 Civil Penalty,22451-AG23-0630-091,https://www.in.gov/idoi/files/enforcement/22451-AG23-0630-091.pdf,"39.96366455521571, -86.12386815410923"
Acuity National Real Estate Solutions LLC,Failure  to enter 489 RREAL transactions,08-06-23,$5290  fine,21896-AG23-0322-057,https://www.in.gov/idoi/files/enforcement/21896-AG23-0322-057.pdf,"38.230198193612175, -85.53988120071678"
"Adroit Health Group, LLC",License  Revocation,16-11-23,$750.00  Civil Penalty,21921-AG23-1019-143,https://www.in.gov/idoi/files/enforcement/21921-AG23-1019-143.pdf,"35.72967447795221, -84.36326302784433"
Advantage Title LLC,Failure  to input RREAL transactions,16-03-23,"$4,530  fine",21894-AG23-0202-019,https://www.in.gov/idoi/files/enforcement/21894-AG23-0202-019.pdf,"40.41928284305835, -86.79472770612529"
"A-Max Insurance Services, LLC",Administration Action,19-10-23,2 Year  Probation,22490-AG23-0620-083,https://www.in.gov/idoi/files/enforcement/22490-AG23-0620-083.pdf,"39.818898600234114, -84.8712425122003"
America's Settlement Company,Failure  to enter RREAL transactions into database,03-08-23,$2830  Civil Penalty,22223-AG23-0403-062,https://www.in.gov/idoi/files/enforcement/22223-AG23-0403-062.pdf,"39.14916776781236, -76.90536701610151"
Chicago Title Co. LLC,Failure to enter RREAL transactions into database,26-09-23,$16070 fine,22235-AG23-0719-099,https://www.in.gov/idoi/files/enforcement/22235-AG23-0719-099.pdf,"40.044454826030105, -76.31358039034767"
"ClearEdge Title, Inc",Failure  to enter RREAL transactions into database,29-11-23,$2640.00 Civil Penalty,22449-AG23-1005-140,https://www.in.gov/idoi/files/enforcement/22449-AG23-1005-140.pdf,"39.36597695829783, -76.79373915220253"
"Closeline, LLC",Failure  to enter RREAL transactions into database,02-11-23,$1820.00 Civil Penalty,22448-AG23-0913-127,https://www.in.gov/idoi/files/enforcement/22448-AG23-0913-127.pdf,"39.11108277556087, -77.17805271980515"
"Rise & Shine Services, LLC",Failure  to pay taxes,20-04-23,License  Denial,22070-AD23-0117-008,https://www.in.gov/idoi/files/enforcement/22070-AD23-0117-008.pdf,"38.53061192408369, -76.71912481716338"
"Southwestern Indiana Land Title, Inc",Failure  to enter 277 RREAL transactions,21-02-23,"$3,170  civil penalty",21908-AG23-0119-009,https://www.in.gov/idoi/files/enforcement/21908-AG23-0119-009.pdf,"38.35541070722104, -87.57228674232819"
Stewart Title Company,Failure  to enter 617 RREAL transactions,04-05-23,"$6,570  civil penalty",21787-AG23-0119-010,https://www.in.gov/idoi/files/enforcement/21787-AG23-0119-010.pdf,"39.77167532147154, -86.14129661051525"
"Title Alliance of Indy Metro, LLC",Failure  to enter 493 RREAL transactions,16-02-23,"$5,330 civil penalty",21913-AG23-0110-005,https://www.in.gov/idoi/files/enforcement/21913-AG23-0110-052.pdf,"39.61677832456186, -86.08315425656379"
"Transfer National, Inc",Failed  to enter 495 RREAL transactions,16-02-23,"$5,350  civil penalty",21893-AG23-0113-007,https://www.in.gov/idoi/files/enforcement/21893-AG23-0113-007.pdf,"40.88797524062053, -74.08151518350785"
"Trident Life Services, Inc",Failure  to report other states action,09-05-23,$250  Civil penalty,21853-AG22-1027-193,https://www.in.gov/idoi/files/enforcement/21853-AG22-1027-193.pdf,"40.778514636940685, -73.56412588536253"
"AMC Settlement Services, LLC",Failure  to enter 52 RREAL transactions,04-05-23,$920  civil penalty,22220-AG23-0324-058,https://www.in.gov/idoi/files/enforcement/22220-AG23-0324-058.pdf,"40.501891700930635, -80.21119800071513"
America's Settlement Company,Failure to enter RREAL transactions into database,03-08-23,$2830.00 fine,22223-AG23-0403-062,https://www.in.gov/idoi/files/enforcement/22223-AG23-0403-062.pdf,"39.14920936912468, -76.9053884737733"
Avenue 365 Lender Services,Failure to enter RREAL transactions into database,03-08-23,$1930.00 fine,22227-AG23-0510-068,https://www.in.gov/idoi/files/enforcement/22227-AG23-0510-068.pdf,"40.183432818559695, -74.87933245654582"
"Better Settlement Services, LLC",Failure  to enter RREAL transactions into database,16-11-23,$12630.00  Civil Penalty,22231-AG23-0802-115,https://www.in.gov/idoi/files/enforcement/22231-AG23-0802-115.pdf,"39.94910296669153, -75.14565993882492"
"Conway Alternative Risk Solutions, LLC",Failure  to report 2 admin actions in a timely manner,30-03-23,$500  civil penalty,22189-AG23-0207-025,https://www.in.gov/idoi/files/enforcement/22189-AG23-0207-025.pdf,"40.66537382808697, -80.10027226023284"
Cypress Risk Management LLC,No home  state license,18-05-23,Suspension  order,22402-AG23-0516-070,https://www.in.gov/idoi/files/enforcement/22402-AG23-0516-070.pdf,"43.488450364253, -96.75008386384113"
"Empower Settlement Services, LLC",Failure  to enter RREAL transactions into database,02-11-23,$1640.00 Civil Penalty,22441-AG23-0726-113,https://www.in.gov/idoi/files/enforcement/22441-AG23-0726-113.pdf,"30.161713278461825, -95.45617084703575"
RKM Insurance Services,Failure  to Disclose Admin Action,29-06-23,$500  Fine,22110-AG23-0206-024,https://www.in.gov/idoi/files/enforcement/22110-AG23-0206-024.pdf,"41.96818384653853, -88.29605476019016"
Seguro Medico LLC,Suspension  order,14-03-23,Suspension  order lifted,21979-AG23-0210-029b,https://www.in.gov/idoi/files/enforcement/21979-AG23-0210-029b.pdf,"39.867232789120415, -86.22128884214953"
Title Clearing & Escrow LLC,Failed  to enter 72 RREAL transactions,05-04-23,"$2,050  civil penalty",21795-AG22-1207-204,https://www.in.gov/idoi/files/enforcement/21795-AG22-1207-204.pdf,"36.07500108628236, -95.88678837201397"
"Trademark Title, Inc",Failure  to enter 749 RREAL transactions,27-04-23,$7890  civil penalty,22917-AG23-0210-028,https://www.in.gov/idoi/files/enforcement/22917-AG23-0210-028.pdf,"39.75878971340113, -86.13607981060383"
Transtar National Inc,Failure  to input RREAL transactions,16-02-23,"$5,530 fine",21893-AG23-0113-007,https://www.in.gov/idoi/files/enforcement/21893-AG23-0113-007.pdf,"33.00815447644616, -96.73896081019026"
"Vantage Point Title, Inc",Failed  to input RREAL transactions,16-03-23,"$23,510  fine",21890-AG23-0202-020,https://www.in.gov/idoi/files/enforcement/21890-AG23-0202-020.pdf,"27.937477734230683, -82.7289438587274"
"Vetinsure, LLC",License  Denied by another state,19-09-23,License  Denial,21988-AD22-1229-132,https://www.in.gov/idoi/files/enforcement/21988-AD22-1229-132.pdf,"33.8681705061536, -83.44815869535738"
Victory Title Inc,Failure  to enter 155 RREAL transactions,24-04-23,"$1,950  civil penalty",22164-AG23-0302-043,https://www.in.gov/idoi/files/enforcement/22164-AG23-0302-043.pdf,"39.86506551683481, -86.38978637560206"
"YZ Financial Services and Insurance, LLC",Failure to Disclose Administrative Action,26-09-23,$250 Civil Penalty,22425-AG23-0717-095,https://www.in.gov/idoi/files/enforcement/22425-AG23-0717-095.pdf,"40.7635098145749, -73.42247532769122"
